IMIĘ_2;PŁEĆ;LICZBA
JAN;M;1850
PIOTR;M;1029
JÓZEF;M;898
STANISŁAW;M;866
MICHAŁ;M;645
ANTONI;M;584
KRZYSZTOF;M;579
JAKUB;M;506
PAWEŁ;M;506
ALEKSANDER;M;505
ANDRZEJ;M;495
ADAM;M;486
FRANCISZEK;M;481
TOMASZ;M;423
MATEUSZ;M;397
WOJCIECH;M;391
JERZY;M;376
TADEUSZ;M;343
MAREK;M;339
KAZIMIERZ;M;324
ŁUKASZ;M;317
MARCIN;M;310
DAWID;M;296
HENRYK;M;284
LEON;M;274
GRZEGORZ;M;263
KAMIL;M;253
KAROL;M;250
MIKOŁAJ;M;242
SZYMON;M;220
MACIEJ;M;213
WIKTOR;M;213
IGNACY;M;210
RYSZARD;M;208
MAKSYMILIAN;M;205
GABRIEL;M;204
FILIP;M;198
KACPER;M;196
RAFAŁ;M;190
NIKODEM;M;183
ZBIGNIEW;M;183
PATRYK;M;176
ARTUR;M;163
DAMIAN;M;160
DARIUSZ;M;150
ROBERT;M;150
DANIEL;M;148
WŁADYSŁAW;M;148
DOMINIK;M;143
JACEK;M;142
MARIUSZ;M;132
SEBASTIAN;M;131
ADRIAN;M;118
BARTOSZ;M;115
STEFAN;M;115
ROMAN;M;112
BARTŁOMIEJ;M;106
EDWARD;M;105
JULIAN;M;104
MARIAN;M;104
MIROSŁAW;M;101
OLIWIER;M;91
PRZEMYSŁAW;M;90
OSKAR;M;88
KRYSTIAN;M;86
KONRAD;M;85
MARCEL;M;82
ARKADIUSZ;M;81
SŁAWOMIR;M;81
HUBERT;M;76
JANUSZ;M;75
JAROSŁAW;M;75
WIESŁAW;M;71
FELIKS;M;67
CZESŁAW;M;66
LESZEK;M;66
CEZARY;M;64
BOGDAN;M;63
IGOR;M;61
MIECZYSŁAW;M;61
MIŁOSZ;M;61
WALDEMAR;M;60
ZYGMUNT;M;53
WITOLD;M;51
ZDZISŁAW;M;48
EMIL;M;44
FLORIAN;M;44
KSAWERY;M;42
EUGENIUSZ;M;41
RADOSŁAW;M;40
SYLWESTER;M;40
TEODOR;M;40
ALAN;M;39
BOGUSŁAW;M;39
TYMOTEUSZ;M;38
ERYK;M;37
TYMON;M;37
BRONISŁAW;M;36
BRUNO;M;35
WINCENTY;M;34
IRENEUSZ;M;32
BOLESŁAW;M;29
LUDWIK;M;29
NATAN;M;29
WŁODZIMIERZ;M;29
LEONARD;M;28
SZCZEPAN;M;28
AUGUSTYN;M;26
BERNARD;M;26
EDMUND;M;25
KONSTANTY;M;25
LEO;M;25
FABIAN;M;24
GUSTAW;M;24
MIESZKO;M;24
LUCJAN;M;22
BŁAŻEJ;M;21
SAMUEL;M;21
BENEDYKT;M;20
LECH;M;19
JOACHIM;M;18
WALENTY;M;18
;M;17
MILAN;M;17
SEWERYN;M;17
WACŁAW;M;17
ZENON;M;17
JEREMI;M;16
KAJETAN;M;16
OLAF;M;16
ALBERT;M;15
NATANIEL;M;15
TOBIASZ;M;15
EMANUEL;M;14
ERNEST;M;14
NORBERT;M;14
FRYDERYK;M;13
JULIUSZ;M;13
KORNEL;M;12
LEW;M;12
BRUNON;M;11
REMIGIUSZ;M;11
BENIAMIN;M;10
AMADEUSZ;M;9
MAURYCY;M;9
ALEXANDER;M;8
ARON;M;8
BORYS;M;8
KORDIAN;M;8
VINCENT;M;8
ALOJZY;M;7
CYPRIAN;M;7
GERARD;M;7
JEREMIASZ;M;7
KOSMA;M;7
KUBA;M;7
ROCH;M;7
AUGUST;M;6
BOGUMIŁ;M;6
DENIS;M;6
ELIASZ;M;6
LEOPOLD;M;6
LESŁAW;M;6
LIAM;M;6
ALBIN;M;5
ALEX;M;5
AURELIUSZ;M;5
DAVID;M;5
LEONARDO;M;5
ALEKS;M;4
ALEKSY;M;4
DORIAN;M;4
FELICJAN;M;4
HUGO;M;4
IWO;M;4
JĘDRZEJ;M;4
KLEMENS;M;4
NIKOLAS;M;4
OKTAWIAN;M;4
OLIVIER;M;4
ROMUALD;M;4
SERGIUSZ;M;4
TEOFIL;M;4
TYTUS;M;4
WAWRZYNIEC;M;4
WILHELM;M;4
WIT;M;4
ZACHARY;M;4
AARON;M;3
GERALT;M;3
JOSE;M;3
KEVIN;M;3
KLAUDIUSZ;M;3
KORNELIUSZ;M;3
MANFRED;M;3
MARTIN;M;3
NICOLAS;M;3
NOAH;M;3
ABDU-ALRAHMAN;M;2
ALFRED;M;2
ALİ;M;2
ANDRA;M;2
ARNOLD;M;2
ARTHUR;M;2
BENJAMIN;M;2
BOŻYDAR;M;2
DOBROMIR;M;2
FILIPE;M;2
GAEL;M;2
GERALD;M;2
GERWAZY;M;2
GRACJAN;M;2
HELMUT;M;2
HIERONIM;M;2
JOHN;M;2
JONASZ;M;2
JONATAN;M;2
KERNAGHAN;M;2
KOSTIANTYN;M;2
LÉON;M;2
MARK;M;2
MICHAEL;M;2
NATANAEL;M;2
NOE;M;2
OLEKSANDR;M;2
OLGIERD;M;2
OTTO;M;2
PHILIP;M;2
RAJMUND;M;2
ROLAND;M;2
RUBEN;M;2
THOMAS;M;2
VIKTOR;M;2
WALTER;M;2
WINCENT;M;2
ZEUS;M;2
ZYGFRYD;M;2
